,precision,recall,f1-score,support
Gatak,0.40414507772020725,0.3644859813084112,0.38329238329238324,214.0
Kelihos_ver1,0.9565217391304348,0.8301886792452831,0.888888888888889,159.0
Kelihos_ver3,0.9177570093457944,0.7944983818770227,0.8516912402428448,618.0
Lollipop,0.8212765957446808,0.3243697478991597,0.46506024096385545,595.0
Obfuscator.ACY,0.7912621359223301,0.7025862068965517,0.7442922374429224,232.0
Ramnit,0.3814713896457766,0.44025157232704404,0.40875912408759124,318.0
Simda,0.016260162601626018,0.2857142857142857,0.030769230769230774,7.0
Tracur,0.20625,0.61875,0.309375,160.0
Vundo,0.48872180451127817,0.6074766355140186,0.5416666666666666,107.0
accuracy,0.5655601659751037,0.5655601659751037,0.5655601659751037,0.5655601659751037
macro avg,0.5537406571802364,0.5520357211979752,0.5137550013727092,2410.0
weighted avg,0.6990436435933218,0.5655601659751037,0.5961613492517864,2410.0
