,precision,recall,f1-score,support
Gatak,0.8132780082987552,0.8596491228070176,0.835820895522388,228.0
Kelihos_ver1,1.0,0.9024390243902439,0.9487179487179488,82.0
Kelihos_ver3,0.9984152139461173,0.9905660377358491,0.9944751381215471,636.0
Lollipop,0.8194945848375451,0.8919449901768173,0.8541862652869239,509.0
Obfuscator.ACY,0.9641255605381166,0.8739837398373984,0.9168443496801707,246.0
Ramnit,0.6771428571428572,0.75,0.7117117117117118,316.0
Simda,0.0,0.0,0.0,9.0
Tracur,0.7672413793103449,0.5855263157894737,0.664179104477612,152.0
Vundo,0.9574468085106383,0.8571428571428571,0.9045226130653266,105.0
accuracy,0.8694699956197985,0.8694699956197985,0.8694699956197985,0.8694699956197985
macro avg,0.7774604902871527,0.7456946764310729,0.7589397807315144,2283.0
weighted avg,0.8707169693133886,0.8694699956197985,0.8681575742553673,2283.0
