,precision,recall,f1-score,support
Gatak,0.38652482269503546,0.4780701754385965,0.42745098039215684,228.0
Kelihos_ver1,0.6,0.6219512195121951,0.6107784431137725,82.0
Kelihos_ver3,0.7228017883755589,0.7625786163522013,0.7421576128538638,636.0
Lollipop,0.6065259117082533,0.6208251473477406,0.6135922330097088,509.0
Obfuscator.ACY,0.6324786324786325,0.6016260162601627,0.6166666666666667,246.0
Ramnit,0.6788321167883211,0.5886075949367089,0.6305084745762712,316.0
Simda,0.0,0.0,0.0,9.0
Tracur,0.48484848484848486,0.42105263157894735,0.4507042253521127,152.0
Vundo,0.24390243902439024,0.19047619047619047,0.213903743315508,105.0
accuracy,0.604029785370127,0.604029785370127,0.604029785370127,0.604029785370127
macro avg,0.48399046621318625,0.4761319546558604,0.47841804214222894,2283.0
weighted avg,0.6023472204687728,0.604029785370127,0.601743739601179,2283.0
