,precision,recall,f1-score,support
Gatak,0.6783216783216783,0.8508771929824561,0.754863813229572,228.0
Kelihos_ver1,1.0,0.7317073170731707,0.8450704225352113,82.0
Kelihos_ver3,0.8579970104633782,0.9025157232704403,0.8796934865900383,636.0
Lollipop,0.7342192691029901,0.8683693516699411,0.7956795679567957,509.0
Obfuscator.ACY,0.919047619047619,0.7845528455284553,0.8464912280701754,246.0
Ramnit,0.8861538461538462,0.9113924050632911,0.8985959438377534,316.0
Simda,0.0,0.0,0.0,9.0
Tracur,0.9587628865979382,0.6118421052631579,0.7469879518072289,152.0
Vundo,0.4411764705882353,0.14285714285714285,0.21582733812949642,105.0
accuracy,0.8142794568550153,0.8142794568550153,0.8142794568550153,0.8142794568550153
macro avg,0.7195198644750762,0.6449015648564507,0.6648010835729191,2283.0
weighted avg,0.8121887284846492,0.8142794568550153,0.8034550508812054,2283.0
